Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
GNRC-CT-67-2020-Solar Utility-1-PTC,3,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,ConnNorwalk,1
GNRC-CT-68-2020-Solar Utility-1-PTC,4,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,ConnSW,1
GNRC-MA-63-2020-Solar Utility-1-PTC,9,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MassSE,1
GNRC-MA-71-2020-Solar Utility-1-PTC,1,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,Boston,1
GNRC-MA-72-2020-Solar Utility-1-PTC,8,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MassCentral,1
GNRC-MA-73-2020-Solar Utility-1,10,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MassWest,1
GNRC-ME-69-2020-Solar Utility-1,5,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MaineBHE,1
GNRC-ME-70-2020-Solar Utility-1,7,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MaineSouth,1
GNRC-NH-74-2020-Solar Utility-1,11,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,NewHampshire,1
GNRC-RI-62-2020-Solar Utility-1,12,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,RhodeIsland,1
GNRC-VT-75-2020-Solar Utility-1,13,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,Vermont,1
GNRC-ME-69-2020-Solar Utility-1-PTC,5,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MaineBHE,1
GNRC-ME-70-2020-Solar Utility-1-PTC,7,1,1,1,0,-1,0,97200,493.2843513,0,0,0,0,0,MaineSouth,1
GNRC-CT-61-2020-Wind Offshore-1,2,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,ConnCentral,1
GNRC-MA-63-2020-Wind Offshore-1,9,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,MassSE,1
GNRC-MA-71-2020-Wind Offshore-1,1,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,Boston,1
GNRC-ME-70-2020-Wind Offshore-1,7,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,MaineSouth,1
GNRC-RI-62-2020-Wind Offshore-1,12,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,RhodeIsland,1
GNRC-NH-74-2020-Wind Offshore-1,11,1,1,1,0,-1,0,97200,1626.832216,0,0,0,0,0,NewHampshire,1
